odai_type,odai,response,score
text,グルメリポート「まずかったんかなあ・・・」彦摩呂さん、何と言った？,うん食べれますよ,4.0
text,結婚式に呼ばれた蛭子さんがニヤニヤ。何と言った？,手紙読んでるときはトイレすいてるんですよ,2.6666666666666665
text,アイドルグループのメンバー卒業公演。「あ、私祝福されてないな・・・」その理由とは？,「今までありがとう」と大きいクマの彫刻を渡された,4.0
text,関西をモチーフにしたテーマパーク「なにわーランド」ってどんなの？,お化け屋敷の名前が「墓地墓地でんな～」,2.6666666666666665
text,男子フィギュアスケート。「この選手、応援する気になれない…」その理由とは？,フィギュアのことを「ギュア」という,4.0
text,マジシャンがアシスタントの女性にイラッ！なぜ？,「ねぇマジシャン」と呼んでくる,4.0
text,卒業式。「第２ボタンあげたくない」その理由とは？,トングで取ろうとする,4.0
text,「大物女優か！」と ちょくちょくつっこまれる小学４年生・西園寺しずか。運動会で何をした？,特注のつばの大きい赤白帽をかぶってきた,4.0
text,全校生徒からウザいと言われる体育教師・元気田イクゾー。スキー合宿で何をした？,雪にシロップかけて食べてからというものずっとお腹おさえてる,4.0
text,悪の親分役の國村隼さん。アドリブで言った脅し文句に監督がNG。何と言った？,皮ジャン家に何枚ある思てんねん,4.0
text,松木さんが女子サッカーチームにインタビュー。「ちゃんとしてください」何と言った？,ポインツって言われると腹立つよね!?,2.6666666666666665
text,「はあ？！」デーブ・スペクターが言ったハリウッド情報とは？,ナタリー・ポートマンってマンてつくけど女優なんですよ！,2.6666666666666665
text,全従業員が関西のおばちゃん。「リゾートホテル ＯＢＡＨＡＮ」ってどんなの？,「バースの間」「掛布の間」「岡田の間」,3.3333333333333335
text,喫茶店にて。「ははぁ～ん、このマスター元プロレスラーだな…」その理由とは？,コーヒーのサイズが「天龍」「鶴田」「馬場」,2.6666666666666665
text,連休で海外に行く人に空港でインタビュー。この家族腹立つな～。なぜ？,「ここ絶対使ってくださいよ～！」とうるさい,2.6666666666666665
text,宮島にて。鹿が観光客にイラっ！どうして？,イモトアヤコが物足りなさそうにロケをしてる,2.6666666666666665
text,動物園の飼育員にウケそうなあるあるネタとは？,焼肉を食べた翌日はかまれやすい,4.0
text,福岡からサッカー中継。 「松木さん、ちゃんと解説してください」何と言った？,僕の中では水炊きか もつ鍋で戦ってますけどね,4.0
text,試合直前のサッカー日本代表を松木さんが激励。選手たちが「はあ？」何と言った？,がんばれよ１０！がんばれよ４！しっかり守れよ１！,4.0
text,吹き出し大喜利 吹き出しにひと言！,おい！綾部が隣に引っ越してくるって！,3.3333333333333335
text,この旅番組ダメだなあ・・・。どんなの？,紹介したすべてのサービスに「※現在は終了しています」のテロップ,4.0
text,「正月休みの一番の思い出は？」に「えっ！？」山下真司さん何と答えた？,家の前で獅子舞ともめちゃってさぁ大変だったよ,2.6666666666666665
text,園児が口をそろえて「こんな幼稚園もうやめたい・・・」その理由とは？,オフィスビルの36階にある,4.0
text,ＮＨＫの人気キャラクターななみちゃんがクリスマスムード一色の街へ。「ニセモノだろ！」何と言った？,あはははあのサンタクオリティ低ーい,4.0
text,アホアホ小学校,入場行進で迷子になる,2.6666666666666665
text,槙原さんが温泉旅行。「はしゃいでるなあ」何と言った？,車２台で行くから１億円プレーヤーとそうじゃないのと分かれろ！,2.6666666666666665
text,ＮＨＫの人気キャラクターななみちゃんがお正月番組に登場。「ニセモノだろ！」何と言った？,みんな彦根城に遊びにきてね,4.0
text,中学校の修学旅行にて。バスガイドがイラッ！何があった？,全員で「チェンジ！チェンジ！」の大合唱,2.6666666666666665
text,この宝くじ売り場、当たる気がしない！その理由とは？,くじが濡れてる,4.0
text,プロレスラー真壁さんが母校で中学生たちに講演。「スイーツのことは忘れてください」何と言った？,ご清聴オリゴ糖ございましたー！！,2.6666666666666665
text,あおりすぎ！！「小４理科」テレビ欄に書かれた見出しとは？,最大延長９：２４まで,4.0
text,彼女とボウリングデート。でも盛り上がりません。なぜ？,彼女のマイボールがガイコツ模様,2.6666666666666665
text,「きょうの料理」にて。あれ？ギャラ下がってたのかな…？土井善晴先生、何と言った？,そこのADちょっといい？君は働いてる相応の給料もろてる？,0.0
text,全校生徒から「何だか不気味」と言われる恐川貞子先生が野球部の応援に。どうなった？,デッドボールが起こる前に「フフ」と笑う,4.0
text,宇宙ロケットにて。船長が「こいつを連れてくるんじゃなかった」,「船長、もう寝た？」と何度も聞いてくる,4.0
text,アホアホ美術館のオーディオガイド。「落穂拾い」の解説で何と言った？,館長も「落葉拾い」だと思っていました,4.0
text,腕相撲大会。「こいつには勝てる！」なぜ？,「こんな風にしてやるよ」と紙を1枚引きちぎった,4.0
text,合コンにて。参加者が「えっ！？」山下真司さん何と言った？,ほっぺに米を付けてるんだから誰か取れよ！,2.6666666666666665
text,怪盗X登場！「こいつ、ダメだなあ・・・」どんな怪盗？,予告状に修正液の跡がいっぱい,4.0
text,「俺を信用してくれ！」「できません！」,何を言うにも頭に「戦略的」をつける,3.3333333333333335
text,写真家が「こいつを弟子にするんじゃなかった」その理由とは？,グラビア撮影以外来ない,4.0
text,槙原さんが温泉旅行。「はしゃいでるなあ」何と言った？,うわっ！このドライヤーって東京ドームのやつの色違いだ！,2.6666666666666665
text,新聞広告「５日もやることか！？」何と書いてあった？,２ＤＡＹＳコンサート中止の謝罪,2.6666666666666665
text,１０文字作文。テーマは「かわいくない」,ポチ袋を透かす小学生,2.6666666666666665
text,動物園。パンダが飼育員にイラッ！その理由とは？,笹の葉で白と黒の境目をなぞった,4.0
text,部下からの年賀状を見て「はは～ん、俺のことあまり好きじゃないな？」なぜ？,筆ペンで達筆風に書いてあるが何も字になっていない,0.0
text,全校生徒から「何だか不気味」と言われる恐川貞子先生が恋をした。何が起こりそう？,自分の髪の毛でマフラーを編みだした,4.0
text,サラリーマン川柳ならぬ「セレブ川柳」とは？,貧乏が　嫌なら辞めれば　いいものを,4.0
text,レスラー高山善廣さん。「試合に集中してください」ファイト中、対戦相手に何と言った？,お前の顔…うちの大家にそっくりじゃないか！,4.0
text,ホラー映画「吸血鬼ドラキュラ」。サブタイトルがおかしい…。どんなの？,の脱獄王,2.6666666666666665
text,ラブラブ夫婦が経営する「喫茶,メニューがすべて「ダーリンが作った○○」,2.6666666666666665
text,母校の柔道部を訪問、篠原さんの言葉に後輩部員たちが「はぁ？」何と言った？,東京の新スポット「動くスカイツリー」です,4.0
text,ママさん綱引き大会。「このチームには勝てる！」その理由とは？,綱に洗濯物を引っかけて乾かしている,2.6666666666666665
text,お見合いにて。「この女性、元ヤンキーだな…」その理由とは？,遠くから聞こえるマフラー音に「ヒロシ・・・もう遅いよ」,4.0
text,新聞広告「５日もやることか！？」何と書いてあった？,飲み込めないミノをクチャクチャ,2.6666666666666665
text,全校生徒から「何だか不気味」といわれる恐川貞子先生。運動会で何をした？,応援の叫び声をあげたら大量のカラスがきた,2.6666666666666665
text,地球を侵略に来た宇宙人。「でも、こわくない」なぜ？,なかなか開かない宇宙船のドアのボタンを指で連打している,4.0
text,「大喜利クエスト」レベルアップしたはずなのにガッカリ。勇者、どうなった？,しおくりがとまった！,2.6666666666666665
text,このヘアワックスのCMダメだなぁ…。どんなの？,感動的なドラマかと思ったら途中から突然ワックスの話になる,0.0
text,松木さんが女子サッカーチームにインタビュー。「ちゃんとしてください」何と言った？,君ラモスと同じ美容室でしょ？,4.0
text,５人組のヒーロー戦隊が、子どもたちからブーイング。その理由とは？,手袋外してスマホいじってる,3.3333333333333335
text,この路上ミュージシャン、応援する気がしない…。どんなの？,お金を入れないと歌わない,2.6666666666666665
