odai_type,odai,response,score,predicted_score
text,「このバッテリー、仲良すぎ」その理由とは？,ピッチャー交代するとキャッチャーがずっとベンチ見てる,1.0,0.544664740562439
text,女性アイドルと行くピクニックツアー。「参加するんじゃなかった・・・」その理由とは？,おやつは２００円までプレゼントは５万円から,1.0,0.7911620736122131
text,ベテラン刑事がため息。渋谷で活躍する「ギャル刑事」とは？,手錠がシュシュ,0.5,0.6620771288871765
text,なんじゃそれ！？月刊「商店街」の特集とは？,特集！ まったく動かないレジのじいさん,1.0,0.7797766327857971
text,ケーキ屋さんの店長が「この新入り、イラっとするな～」どうして？,「ケーキ作ってる～！」ってめっちゃ言ってくる,1.0,0.8726471662521362
text,北斗晶さんが家族でハワイ旅行。「はしゃいでるなぁ…」夫に何と言った？,健介！ 早く海に入って元を取れ！元を！,1.0,0.7476279139518738
text,９９％の人が「使いにくい」と答えた携帯電話とは？,６画素,0.5,0.5795717835426331
text,音楽会の指揮者がプンプン！なぜ？,一段低い,1.0,0.5669255256652832
text,コンプライアンスを気にしすぎたヒーロー戦隊でありそうなシーンとは？,「怪人」のことを「少し素行が気になる人」という,0.5,0.5708189010620117
text,怪盗X登場！「こいつ、ダメだなあ・・・」どんな怪盗？,衣装のすきまからパジャマが見えている,0.5,0.6910208463668823
text,関西をモチーフにしたテーマパーク「なにわーランド」ってどんなの？,身長制限の看板が池乃めだか師匠,1.0,0.4415433406829834
text,合コンにて。参加者が「えっ！？」山下真司さん何と言った？,すげーあんたの服の色このつきだしとおそろいじゃん！,1.0,0.7881207466125488
text,このアイスクリーム店 ダメだなあ～。なぜ？,手渡してからの説明が長い,0.7500000000000002,0.6852288842201233
text,このファッションショー、ダメだなあ。その理由とは？,全員ターンで足ぐねる,1.0,0.6557308435440063
text,結婚式にて。新郎新婦が「祝福されている気がしない」その理由とは？,バージンロードで足をかけてくる,0.5,0.6083190441131592
text,日本にホームステイに来た留学生にイラッ。なぜ？,ハグしたあとに服のほこりを払う,0.5,0.7064604759216309
text,もう行かない・・・。居酒屋「大リーグ」ってどんなお店？,中四日で営業する,0.5,0.6912928223609924
text,ダンス大会。審査員ＳＡＭさんのコメントに「はぁ？」何と言った？,ロン毛の人結べよ！,1.0,0.7747740149497986
text,チアリーダーに野球部員たちがイラッ！その理由とは？,「苦手なインハイかっとばせー！」と弱点を叫ぶ,0.7500000000000002,0.6780023574829102
text,この「大人のためのピアノ教室」ダメだなぁ…なぜ？,「白、白、黒、白、ここで白黒」,1.0,0.6563687324523926
text,「大物女優か！」とちょくちょくつっこまれる小学４年生・西園寺しずか。友達の誕生会で何をした？,常温の軟水しか口にしない,1.0,0.8695627450942993
text,陶芸家が「もうダメ。そろそろ引退かな」。なぜ？,妻が遊びで作ったものが最高値で売れた,0.5,0.6771332621574402
text,「そんなんで眠れるかっ！」どんな子守歌？,逃げて逃げても 朝は来る,1.0,0.7171837091445923
text,このゴルフレッスンプロ、ダメだなぁ。どうして？,スイングする時のかけ声が「ゆる・して・ニャン！」,1.0,0.7667698860168457
text,イケてない男子があこがれる高校生活のワンシーンとは？,女の子に貸してた本に「好き」と書いてあった,0.5,0.74214768409729
text,『このサーカス団、地味だなぁ』その地味さ加減とは？,二人,0.5,-0.005781242623925209
text,トーク番組「蛭子の部屋」ゲストの大女優にニヤニヤ。蛭子さん何と言った？,とうもろこしの匂いがしますね！,0.5,0.7375202775001526
text,Ｆ１レーサーがチームにイラッ！なぜ？,レースクイーンたちがホイールの反射でアイラインを引いている,1.0,0.7351089715957642
text,リポーターの蛭子さん、正月の初詣中継でニヤニヤ。何と言った？,ああいう人好きだな～！さい銭無しでずっとお願いしてるよ,1.0,0.7003639340400696
