odai_type,odai_id,score,predicted_score
image,ogiri-bokete-207,1.0,0.63206965
image,ogiri-bokete-149,0.4898400999036314,0.67043835
image,ogiri-bokete-624,0.41556255227970773,0.5234327
image,ogiri-bokete-69,1.0,0.86961126
image,ogiri-bokete-462,0.7453830755740429,0.68942827
image,ogiri-bokete-641,0.4898400999036314,0.6338639
image,ogiri-bokete-699,0.23156033567186984,0.5162704
image,ogiri-bokete-459,0.7211836187152714,0.6524148
image,ogiri-bokete-530,0.41556255227970773,0.5771867
image,ogiri-bokete-342,1.0,0.61057
image,ogiri-bokete-304,0.572004890952692,0.6878654
image,ogiri-bokete-629,0.9486552339577305,0.59618104
image,ogiri-bokete-534,1.0,0.6848791
image,ogiri-bokete-601,1.0,0.62611365
image,ogiri-bokete-182,1.0,0.624525
image,ogiri-bokete-537,0.4898400999036314,0.61974865
image,ogiri-bokete-344,1.0,0.6205311
image,ogiri-bokete-556,0.4898400999036314,0.57284886
image,ogiri-bokete-655,1.0,0.68534446
image,ogiri-bokete-370,1.0,0.6550845
image,ogiri-bokete-621,0.4898400999036314,0.56090724
image,ogiri-bokete-514,0.4693797506622861,0.5235374
image,ogiri-bokete-664,0.5371814021074333,0.6080012
image,ogiri-bokete-385,0.6418329869920407,0.74189544
image,ogiri-bokete-386,0.5613808589662053,0.63196546
image,ogiri-bokete-310,0.4898400999036314,0.700601
image,ogiri-bokete-675,0.6738423165114695,0.7148786
image,ogiri-bokete-425,0.4898400999036314,0.60639924
image,ogiri-bokete-274,0.5498318786881216,0.6979649
image,ogiri-bokete-601,0.6477330491105591,0.60443574
image,ogiri-bokete-20,0.6418329869920407,0.6697431
image,ogiri-bokete-538,0.5231969490448647,0.59001786
image,ogiri-bokete-474,0.5613808589662053,0.67955536
image,ogiri-bokete-355,0.5371814021074333,0.6226082
image,ogiri-bokete-240,0.5818412082075506,0.6839429
image,ogiri-bokete-383,1.0,0.5795422
image,ogiri-bokete-572,0.4898400999036314,0.5736783
image,ogiri-bokete-388,0.4898400999036314,0.64133
image,ogiri-bokete-691,0.5075636605836269,0.6871725
image,ogiri-bokete-503,0.41556255227970773,0.5372193
image,ogiri-bokete-491,1.0,0.6535913
image,ogiri-bokete-435,1.0,0.7007487
image,ogiri-bokete-390,0.4898400999036314,0.62281376
image,ogiri-bokete-400,0.7071991656527026,0.64837253
image,ogiri-bokete-47,1.0,0.63656414
image,ogiri-bokete-391,0.4898400999036314,0.6538153
image,ogiri-bokete-394,0.5231969490448647,0.6997644
text,ogiri-keitai-407,1.0,0.74275
text,ogiri-keitai-639,1.0,0.7430531
text,ogiri-keitai-218,0.5,0.71717185
text,ogiri-keitai-305,1.0,0.7657085
text,ogiri-keitai-705,1.0,0.7332195
text,ogiri-keitai-712,1.0,0.74997765
text,ogiri-keitai-72,0.5,0.67839336
text,ogiri-keitai-4,1.0,0.57310766
text,ogiri-keitai-949,0.5,0.67402047
text,ogiri-keitai-284,0.5,0.7159765
text,ogiri-keitai-716,1.0,0.71985054
text,ogiri-keitai-496,1.0,0.74097747
text,ogiri-keitai-813,0.7499999999999998,0.78170276
text,ogiri-keitai-259,1.0,0.823661
text,ogiri-keitai-328,0.5,0.6807921
text,ogiri-keitai-429,0.5,0.74647254
text,ogiri-keitai-75,0.5,0.73717487
text,ogiri-keitai-523,1.0,0.7876884
text,ogiri-keitai-826,0.7499999999999998,0.5751684
text,ogiri-keitai-711,1.0,0.67808455
text,ogiri-keitai-710,1.0,0.82940954
text,ogiri-keitai-400,0.5,0.7208294
text,ogiri-keitai-92,1.0,0.7761025
text,ogiri-keitai-519,1.0,0.7055733
text,ogiri-keitai-261,0.5,0.7435468
text,ogiri-keitai-936,0.5,0.34642404
text,ogiri-keitai-840,0.5,0.80021685
text,ogiri-keitai-403,1.0,0.7249081
text,ogiri-keitai-576,1.0,0.7557264
text,ogiri-keitai-385,1.0,0.721674
text,ogiri-keitai-110,1.0,0.7526375
text,ogiri-keitai-888,0.7499999999999998,0.7390844
text,ogiri-keitai-537,1.0,0.74768645
text,ogiri-keitai-485,1.0,0.80705416
text,ogiri-keitai-727,0.5,0.7523493
text,ogiri-keitai-765,0.5,0.68767995
text,ogiri-keitai-74,1.0,0.7616473
text,ogiri-keitai-172,1.0,0.61678135
text,ogiri-keitai-147,0.5,0.6682383
text,ogiri-keitai-86,0.5,0.73850447
text,ogiri-keitai-561,1.0,0.7859028
text,ogiri-keitai-709,1.0,0.7694318
text,ogiri-keitai-787,1.0,0.6785607
text,ogiri-keitai-48,1.0,0.7057167
text,ogiri-keitai-50,1.0,0.79498225
text,ogiri-keitai-525,0.5,0.735975
text,ogiri-keitai-591,0.5,0.8472266
text,ogiri-keitai-949,1.0,0.6613634
text,ogiri-keitai-381,0.5,0.7574478
text,ogiri-keitai-918,-0.5,0.056368716
text,ogiri-keitai-781,1.0,0.8275841
text,ogiri-keitai-530,0.5,0.7614007
text,ogiri-keitai-735,1.0,0.657922
text,ogiri-keitai-269,1.0,0.69334316
text,ogiri-keitai-233,1.0,0.71565425
text,ogiri-keitai-428,1.0,0.7565654
text,ogiri-keitai-221,1.0,0.7518859
text,ogiri-keitai-928,0.5,0.6846549
text,ogiri-keitai-168,1.0,0.79005724
text,ogiri-keitai-151,1.0,0.75605196
text,ogiri-keitai-826,1.0,0.4979365
text,ogiri-keitai-288,0.5,0.7396116
text,ogiri-keitai-884,0.7499999999999998,0.77553546
text,ogiri-keitai-623,1.0,0.70974344
text,ogiri-keitai-96,1.0,0.80457807
text,ogiri-keitai-622,0.5,0.717657
text,ogiri-keitai-157,0.5,0.73924536
text,ogiri-keitai-383,1.0,0.701855
text,ogiri-keitai-710,1.0,0.8380252
text,ogiri-keitai-904,0.5,0.65003574
text,ogiri-keitai-641,1.0,0.75388396
text,ogiri-keitai-289,0.5,0.67517376
text,ogiri-keitai-657,1.0,0.7483005
text,ogiri-keitai-509,0.5,0.7832212
text,ogiri-keitai-468,1.0,0.7863309
text,ogiri-keitai-36,1.0,0.7302962
text,ogiri-keitai-182,0.5,0.7783546
text,ogiri-keitai-706,1.0,0.7464575
text,ogiri-keitai-559,0.5,0.73293877
text,ogiri-keitai-95,0.5,0.72104406
text,ogiri-keitai-750,0.5,0.7558556
image,ogiri-bokete-86,1.0,0.7330343
image,ogiri-bokete-558,0.37737864235836693,0.58141905
image,ogiri-bokete-371,1.0,0.67207634
image,ogiri-bokete-424,1.0,0.642538
image,ogiri-bokete-535,0.5371814021074333,0.599819
image,ogiri-bokete-629,0.4898400999036314,0.6638584
image,ogiri-bokete-149,1.0,0.66756946
image,ogiri-bokete-419,0.5371814021074333,0.7160282
image,ogiri-bokete-374,1.0,0.60867816
image,ogiri-bokete-464,1.0,0.642563
image,ogiri-bokete-372,0.572004890952692,0.73122954
image,ogiri-bokete-466,0.4898400999036314,0.6849225
image,ogiri-bokete-596,1.0,0.6085059
image,ogiri-bokete-592,0.6356584065901287,0.6736196
image,ogiri-bokete-573,0.4693797506622861,0.6105591
image,ogiri-bokete-520,1.0,0.5264496
image,ogiri-bokete-519,0.5498318786881216,0.66328734
image,ogiri-bokete-11,1.0,0.77225554
image,ogiri-bokete-71,1.0,0.64764243
image,ogiri-bokete-226,0.5231969490448647,0.6915542
image,ogiri-bokete-654,0.5371814021074333,0.6843648
image,ogiri-bokete-293,0.4898400999036314,0.6297516
image,ogiri-bokete-443,0.7276595148940479,0.6555388
image,ogiri-bokete-125,1.0,0.6347083
image,ogiri-bokete-675,0.572004890952692,0.6906681
image,ogiri-bokete-35,0.6477330491105591,0.6730882
image,ogiri-bokete-433,0.572004890952692,0.6553525
image,ogiri-bokete-400,1.0,0.6819247
image,ogiri-bokete-637,0.5371814021074333,0.6951774
image,ogiri-bokete-602,1.0,0.5477683
image,ogiri-bokete-473,0.572004890952692,0.7063518
image,ogiri-bokete-528,0.7143754832073095,0.6177435
image,ogiri-bokete-651,0.658800251935159,0.5949002
image,ogiri-bokete-44,0.5075636605836269,0.63815254
image,ogiri-bokete-269,0.7211836187152714,0.58083266
image,ogiri-bokete-313,0.4898400999036314,0.6835265
image,ogiri-bokete-21,0.6291825104113522,0.6993937
image,ogiri-bokete-415,0.4898400999036314,0.65109533
image,ogiri-bokete-407,0.4898400999036314,0.74082947
image,ogiri-bokete-655,0.5371814021074333,0.6673751
image,ogiri-bokete-191,1.0,0.5851231
image,ogiri-bokete-639,0.41556255227970773,0.5790877
image,ogiri-bokete-642,0.37737864235836693,0.50223106
image,ogiri-bokete-693,0.4898400999036314,0.6691051
image,ogiri-bokete-109,0.5231969490448647,0.6004527
image,ogiri-bokete-349,0.6784999713429816,0.66670024
image,ogiri-bokete-298,0.5909986004900118,0.66998625
image,ogiri-bokete-652,1.0,0.558319
image,ogiri-bokete-651,0.41556255227970773,0.6150405
image,ogiri-bokete-350,0.6223743749033903,0.6778581
image,ogiri-bokete-668,0.41556255227970773,0.5898555
image,ogiri-bokete-516,0.4898400999036314,0.55595917
image,ogiri-bokete-328,0.9327975506117587,0.70713305
image,ogiri-bokete-663,0.6291825104113522,0.66215354
image,ogiri-bokete-455,0.607611447217987,0.6363251
image,ogiri-bokete-438,0.5075636605836269,0.672331
image,ogiri-bokete-700,0.4898400999036314,0.62074685
text,ogiri-keitai-647,1.0,0.73463917
text,ogiri-keitai-32,0.5,0.6478416
text,ogiri-keitai-179,1.0,0.7496643
text,ogiri-keitai-188,0.5,0.7362523
text,ogiri-keitai-466,1.0,0.73445547
text,ogiri-keitai-18,0.5,0.63332385
text,ogiri-keitai-240,0.5,0.7512656
text,ogiri-keitai-938,0.5,0.6999977
text,ogiri-keitai-72,0.5,0.6434768
text,ogiri-keitai-885,1.0,0.66725534
text,ogiri-keitai-371,0.5,0.73248684
text,ogiri-keitai-270,1.0,0.64696646
text,ogiri-keitai-36,0.5,0.7176918
text,ogiri-keitai-263,0.5,0.6892623
text,ogiri-keitai-604,0.5,0.77170247
text,ogiri-keitai-764,1.0,0.73640966
text,ogiri-keitai-448,1.0,0.77564776
text,ogiri-keitai-127,-1.0,0.57962507
text,ogiri-keitai-39,0.5,0.7076033
text,ogiri-keitai-505,1.0,0.7828801
text,ogiri-keitai-945,0.5,0.70524865
text,ogiri-keitai-671,0.5,0.83495355
text,ogiri-keitai-323,1.0,0.7695168
text,ogiri-keitai-251,0.5,0.71240216
text,ogiri-keitai-189,1.0,0.8498821
text,ogiri-keitai-659,1.0,0.807431
text,ogiri-keitai-274,0.5,0.73081106
text,ogiri-keitai-592,1.0,0.8144773
text,ogiri-keitai-574,1.0,0.7252278
text,ogiri-keitai-605,1.0,0.647039
text,ogiri-keitai-467,1.0,0.86083263
text,ogiri-keitai-83,1.0,0.5372461
text,ogiri-keitai-529,0.5,0.6901527
text,ogiri-keitai-783,1.0,0.37816495
text,ogiri-keitai-869,0.7499999999999998,0.6368088
text,ogiri-keitai-104,1.0,0.793612
text,ogiri-keitai-753,0.5,0.75932544
text,ogiri-keitai-304,1.0,0.7133642
text,ogiri-keitai-893,0.5,0.80174565
text,ogiri-keitai-190,1.0,0.7757688
text,ogiri-keitai-386,1.0,0.72630024
text,ogiri-keitai-228,1.0,0.6556748
text,ogiri-keitai-540,0.5,0.78577423
text,ogiri-keitai-737,1.0,0.8121915
text,ogiri-keitai-185,0.5,0.82388484
text,ogiri-keitai-617,0.5,0.7539546
text,ogiri-keitai-754,0.5,0.6984425
