odai_type,odai,response,score,predicted_score
image,「猿の目は赤いです。」,最近作物を荒らす猿を懲らしめようとしたが、食材にメッチャ感謝しながら食べてて怒りの矛先を見失う,1.0,-2.794921875
image,「水に浮かぶラッコのイラストが描かれています。このイラストは、何か特別な意味を持っているのでしょうか？」,ツカル,-0.3277812788136505,-5.953125
image,「全国32の一人区で自民党に勝った野党は、どの政党ですか？」,パーリナイ,-0.5211017204097175,-4.0703125
image,「この男の子は誰ですか？」,腹痛が限界になったので近くのデパートに入ったら突然来店10万人目を祝うクラッカーが鳴り、びっくりして全部出た。,1.0,-2.34375
image,「ピアノと歌い手が一緒に演奏している場面。背景には窓があり、外は水辺の景色が見えます。」,左のトットロ♪トットーロ♪,0.33731446658580233,-2.05859375
image,「給料額が予想外に低いので、どうするべきですか？」,クーポン券払い,-0.3277812788136505,-7.69140625
image,「砂の王国」に登場する巨大な地底生物は、どんなものでしょうか？,ナリのトトロ,-1.0,-5.8515625
image,「このキャラクターは誰ですか？」,怪人が出たって聞いたから来たけど...アッコさんじゃねぇか!,0.2743311043723742,-4.0078125
image,「曲の歌詞を少しだけ変えて」,おな~イき~,-0.5211017204097175,-5.30078125
image,「車の中で、男と女の顔が見えます。彼らは何かを話しているのでしょうか？」,運転中だろうと会話はしっかり相手の目を見るタイプ,1.0,-0.703125
image,「北朝鮮の指導者が何かを指差しているシーンを撮影しました。そのシーンは、どのような状況や出来事に関連しているのでしょうか？」,まじか!おい見ろよ笑俺の手!俺の手!豚かよ笑笑笑,-0.11393289262734019,-4.125
image,「電車の中で、誰が話しかけたのか？」,ずっと前から好きでした,0.8663661744031348,-4.52734375
image,「進撃の巨人」←「後退する阪神」みたいな対義語を作って下さい,『陸王』↔︎『魚民』,1.0,-2.013671875
image,"蝶のように舞い  
は________す",ずかしかったで,1.0,-3.19140625
image,「この赤いマスクは、誰の顔を表しているのか？」,嫌いな先輩がミスして上司に怒鳴られてるのを聞きながらパソコン見てる俺(リアルタイム),1.0,-4.10546875
image,「1回1万円のガチャガチャ、何が出たかな？」,深いため息,-0.3277812788136505,-4.3828125
image,「制服姿の女子高生たちが並んで歩く様子。その中で、誰が一番気をつけて歩いているか？」,あっ...あのっ、助けていただいてありがとうございました!!,1.0,-3.08984375
image,「なぜ、オリンピックは毎年開催されるのか？」,見栄,-0.3277812788136505,-4.33984375
image,「アメンボだよ。ぼくもうかんでみたいなぁ。」,クラスでは立派に浮いてるじゃない,1.0,-1.74609375
image,「赤ちゃんが手で耳を塞いでいる理由は何ですか？」,初健診を鳴き喚いて切り抜けようと思ってたが、先生が怖いので自ら首をすわらせ相手の目を見て話しを聞く好印象作戦に切り替えた,1.0,-1.525390625
image,「アメリゴは、何と言ったか？」,友達の友達がアルカイダ,-0.3277812788136505,-5.28515625
image,「可愛らしい子を抱く時があるある」,ないない,-0.38103295279962157,-3.216796875
image,「人生に疲れ果てたお母さんは、子供達とマンションの8階から...」,7階に転居した,-0.20456717521790813,-1.716796875
image,「この画像は、アメリカ軍の兵士たちが並んで立っている写真です。彼らは何を準備しているのでしょうか？」,「全米が泣いた!」の「全米」の正体,0.06780706505795586,-5.80078125
image,「この二人は、何の衣装を着ていますか？」,バレエパフォーマンス「テイジタイシャ」,-0.14158381300448009,-3.080078125
image,「ウサギの家族が集まり、何かを話し合っている様子。」,亀に負けただと,-0.3277812788136505,-3.759765625
