odai_type,odai_id,score,predicted_score
text,ogiri-keitai-407,1.0,0.7321556
text,ogiri-keitai-639,1.0,0.759423
text,ogiri-keitai-218,0.5,0.71230036
text,ogiri-keitai-305,1.0,0.7851153
text,ogiri-keitai-705,1.0,0.76352996
text,ogiri-keitai-712,1.0,0.7969217
text,ogiri-keitai-72,0.5,0.6837821
text,ogiri-keitai-4,1.0,0.6296651
text,ogiri-keitai-949,0.5,0.6913207
text,ogiri-keitai-284,0.5,0.6917031
text,ogiri-keitai-716,1.0,0.7585475
text,ogiri-keitai-496,1.0,0.7886636
text,ogiri-keitai-813,0.7499999999999998,0.7688639
text,ogiri-keitai-259,1.0,0.78189814
text,ogiri-keitai-328,0.5,0.6315642
text,ogiri-keitai-429,0.5,0.77629906
text,ogiri-keitai-75,0.5,0.77100515
text,ogiri-keitai-523,1.0,0.7903694
text,ogiri-keitai-826,0.7499999999999998,0.61752886
text,ogiri-keitai-711,1.0,0.6345098
text,ogiri-keitai-710,1.0,0.83331645
text,ogiri-keitai-400,0.5,0.6807622
text,ogiri-keitai-92,1.0,0.74216634
text,ogiri-keitai-519,1.0,0.704057
text,ogiri-keitai-261,0.5,0.73740554
text,ogiri-keitai-936,0.5,0.4264013
text,ogiri-keitai-840,0.5,0.7783193
text,ogiri-keitai-403,1.0,0.75128216
text,ogiri-keitai-576,1.0,0.7657033
text,ogiri-keitai-385,1.0,0.7644087
text,ogiri-keitai-110,1.0,0.7726533
text,ogiri-keitai-888,0.7499999999999998,0.7420456
text,ogiri-keitai-537,1.0,0.74106956
text,ogiri-keitai-485,1.0,0.77451336
text,ogiri-keitai-727,0.5,0.77888626
text,ogiri-keitai-765,0.5,0.75206363
text,ogiri-keitai-74,1.0,0.7607381
text,ogiri-keitai-172,1.0,0.66455525
text,ogiri-keitai-147,0.5,0.6169414
text,ogiri-keitai-86,0.5,0.7171035
text,ogiri-keitai-561,1.0,0.77371645
text,ogiri-keitai-709,1.0,0.8224097
text,ogiri-keitai-787,1.0,0.72293884
text,ogiri-keitai-48,1.0,0.72455674
text,ogiri-keitai-50,1.0,0.8399344
text,ogiri-keitai-525,0.5,0.76381534
text,ogiri-keitai-591,0.5,0.8243908
text,ogiri-keitai-949,1.0,0.70938045
text,ogiri-keitai-381,0.5,0.7144608
text,ogiri-keitai-918,-0.5,0.083136395
text,ogiri-keitai-781,1.0,0.82171607
text,ogiri-keitai-530,0.5,0.74832004
text,ogiri-keitai-735,1.0,0.7245265
text,ogiri-keitai-269,1.0,0.7215449
text,ogiri-keitai-233,1.0,0.7650631
text,ogiri-keitai-428,1.0,0.6833629
text,ogiri-keitai-221,1.0,0.7423156
text,ogiri-keitai-928,0.5,0.7224586
text,ogiri-keitai-168,1.0,0.77276325
text,ogiri-keitai-151,1.0,0.785876
text,ogiri-keitai-826,1.0,0.572106
text,ogiri-keitai-288,0.5,0.7494514
text,ogiri-keitai-884,0.7499999999999998,0.7868435
text,ogiri-keitai-623,1.0,0.7363189
text,ogiri-keitai-96,1.0,0.80910176
text,ogiri-keitai-622,0.5,0.72101337
text,ogiri-keitai-157,0.5,0.77719295
text,ogiri-keitai-383,1.0,0.7637467
text,ogiri-keitai-710,1.0,0.84607667
text,ogiri-keitai-904,0.5,0.6114149
text,ogiri-keitai-641,1.0,0.7954534
text,ogiri-keitai-289,0.5,0.7425409
text,ogiri-keitai-657,1.0,0.7237415
text,ogiri-keitai-509,0.5,0.7730744
text,ogiri-keitai-468,1.0,0.7636654
text,ogiri-keitai-36,1.0,0.7750326
text,ogiri-keitai-182,0.5,0.75390303
text,ogiri-keitai-706,1.0,0.7638441
text,ogiri-keitai-559,0.5,0.7351201
text,ogiri-keitai-95,0.5,0.71740276
text,ogiri-keitai-750,0.5,0.6854801
text,ogiri-keitai-647,1.0,0.73988634
text,ogiri-keitai-32,0.5,0.6883639
text,ogiri-keitai-179,1.0,0.7575935
text,ogiri-keitai-188,0.5,0.7530415
text,ogiri-keitai-466,1.0,0.7544534
text,ogiri-keitai-18,0.5,0.59698427
text,ogiri-keitai-240,0.5,0.78480333
text,ogiri-keitai-938,0.5,0.67538166
text,ogiri-keitai-72,0.5,0.62621397
text,ogiri-keitai-885,1.0,0.7459146
text,ogiri-keitai-371,0.5,0.66493833
text,ogiri-keitai-270,1.0,0.74305123
text,ogiri-keitai-36,0.5,0.7460302
text,ogiri-keitai-263,0.5,0.7672006
text,ogiri-keitai-604,0.5,0.8048756
text,ogiri-keitai-764,1.0,0.76694775
text,ogiri-keitai-448,1.0,0.8085247
text,ogiri-keitai-127,-1.0,0.47226843
text,ogiri-keitai-39,0.5,0.7132045
